Country,Region,Population,AreaPerSqm,PopDensityPerSqm,GDPpercapital,LiteracyPercent
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,5000,90.9
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,2900,59.5
United States ,NORTHERN AMERICA                   ,298444215,9631420,31,37800,97
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,3200,87.9
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,7600,86.4
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,2100,45.7
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,1900,43.1
Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,8900,99.6
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,900,68
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,28200,99
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,54.5,9000,92.2
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,4600,92.6
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,2500,90.3
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,27600,99
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,4000,57.7
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,700,42.7
Turkey ,NEAR EAST                          ,70413958,780580,90.2,6700,86.5
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,7000,79.4
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,7400,92.6
Congo. Dem. Rep. ,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,700,65.5
France ,WESTERN EUROPE                     ,60876136,547030,111.3,27600,99
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,27700,99
Italy ,WESTERN EUROPE                     ,58133509,301230,193,26700,98.6
Korea. South ,ASIA (EX. NEAR EAST)         ,48846823,98480,496,17800,97.9
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,1800,85.3
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,5400,99.7
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,10700,86.4
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,6300,92.5
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,1900,61.1
Spain ,WESTERN EUROPE                     ,40397842,504782,80,22000,97.9
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,14.4,11200,97.1
Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,11100,99.8
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,600,78.2
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,1000,85.1
Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,4000,51.7
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,29800,97
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,6000,70
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48,700,36
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,22,5100,90.9
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,1400,45.2
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,1400,69.9
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61,1700,99.3
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,11800,78.8
Iraq ,NEAR EAST                          ,26783383,437072,61.3,1500,40.4
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,4800,93.4
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74,9000,88.7
Korea. North ,ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,1300,99
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,23400,96.1
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,2200,74.8
Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,7000,98.4
